id_comuna,metros_plaza,metros_parque
13109,102607.0,10000.0
13110,1518203.0,83738.0
13111,243414.0,440453.0
13112,779145.0,216300.0
13113,442931.0,0.0
13114,1636790.0,362000.0
13115,959924.0,598328.0
13116,213581.0,46785.0
13117,250717.0,135403.0
13118,443579.0,85595.0
13119,2661113.0,680416.0
13120,583314.0,262130.0
13121,136241.0,429839.0
13122,1179088.0,594373.0
13123,212347.0,418630.0
13124,896241.0,238371.0
13125,814723.0,5000.0
13126,145303.0,343633.0
13127,443930.0,382219.0
13128,862181.0,164000.0
13129,315000.0,161612.0
13130,99362.0,74717.0
13131,382145.0,92000.0
13132,237461.0,373750.0
13201,2576707.0,252712.0
13202,58082.0,0.0
13203,40210.0,0.0
13301,638619.0,242683.0
13302,752055.0,0.0
13303,42722.0,55649.0
13401,1372230.0,202919.0
13402,,
13403,50854.0,0.0
13404,153982.0,20100.0
13501,43455.0,46753.0
13502,23155.0,15095.0
13503,94434.0,5400.0
13504,22050.0,0.0
13505,16291.0,0.0
13601,317721.0,114700.0
13602,90000.0,0.0
13603,85595.0,0.0
13604,290000.0,24000.0
13605,230166.0,301078.0
14101,112083.0,322352.0
14102,4163.0,332763200.0
14103,35928.0,0.0
14104,,
14105,15400.0,100000.0
14106,55000.0,35000.0
14107,48783.0,0.0
14108,23246.0,98050.0
14201,225706.0,20000.0
14202,24799.0,0.0
14203,19448.0,38139.0
14204,28000.0,0.0
15101,358253.0,153181.0
15102,1000.0,0.0
15201,12401.0,0.0
15202,2500.0,0.0
16101,645000.0,71000.0
16102,85380.0,0.0
16103,108911.0,30497.0
16104,29585.0,0.0
16105,15625.0,0.0
16106,25910.0,0.0
16107,7362.0,0.0
16108,28459.0,0.0
16109,17500.0,0.0
16201,,
16202,,
16203,23872.0,0.0
16204,19081.0,51512.0
16205,10000.0,0.0
16206,7338.0,20375.0
16207,5500.0,7500.0
16301,168800.0,82226.0
16302,21282.0,0.0
16303,21925.0,0.0
16304,9500.0,0.0
16305,36300.0,4180.0
